"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
55.73052203422809;37.592555970569066;"Россия, Москва, Фрунзенская набережная, 16к1

https://airsoft-rus.ru/
В сленге страйкболистов называется - ""Синий магазин"" - самый популярный магазин для новичков (внимание цены на аккумуляторы завышены в 2 раза)";"AirSoft-RUS";1
55.7959272255712;37.781965423278244;"Россия, Москва, 3-я Парковая улица, 33

https://airsoft-rus.ru/
В сленге страйкболистов называется - ""Синий магазин"" - самый популярный магазин для новичков (внимание цены на аккумуляторы завышены в 2 раза)";"AirSoft-RUS";2
55.778866372872244;37.582919999999746;"Россия, Москва, Ленинградский проспект, 2

https://airsoft-rus.ru/
В сленге страйкболистов называется - ""Синий магазин"" - самый популярный магазин для новичков (внимание цены на аккумуляторы завышены в 2 раза)";"AirSoft-RUS";3
55.72784604937105;37.44865653984559;"Россия, Москва, улица Ивана Франко, 10


https://www.airsoftstore.ru/
Скидка в 7% по предъявлению фото карты с телефона в магазине
https://vk.com/topic-79421721_48187134";"AirsoftStore";
55.71222097809918;37.6083826588953;"Россия, Москва, улица Серпуховский Вал, 30

https://air-wars.ru/";"AWTactical";1
55.7103368155848;37.732630139880655;"Россия, Москва, Волгоградский проспект, 53

https://air-wars.ru/";"AWTactical";2
59.927648518372195;30.317229884585952;"Россия, Санкт-Петербург, Сенная площадь, 7

https://air-wars.ru/";"AWTactical";3
55.678561;37.534409;"Россия, Москва, Ленинский проспект, 87

+7(495)507-12-30
https://airsoftsports.ru/";"Airsoft Sports";1
55.823036887358136;37.647112034970256;"Россия, Москва, проспект Мира, 150

+7(495)507-86-11
https://airsoftsports.ru/";"Airsoft Sports";2
55.825924;37.420061;"Россия, Москва, Волоколамское шоссе, 79А

+7(499)755-69-70
https://airsoftsports.ru/";"Airsoft Sports";3
55.75359985726436;37.75185299999991;"Россия, Москва, Электродная улица, 2с29

https://strikeplanet.ru/";"Планета Страйкбола";
55.869266;37.469365;"Россия, Москва, Смольная улица, 63Бк1

https://7987160.ru/";"ТИПМАНОВ";1
55.7052450868362;37.403576999999224;"Россия, Москва, Сколковское шоссе, 31с1

https://7987160.ru/";"ТИПМАНОВ";2
